user,text,date
@evelynmatthei,muniprovi realizamos trabajo serio materia fiscalización año trabajo intensificado sector costanera center equipo fiscalización junto carabdechile apoyo seguridadprovidencia realizando constantes operativos fiscalizar taxis detienen inmediaciones centro comercial obstaculizan desplazamiento transporte público,2024-05-03 18:59:08
@evelynmatthei,noches humor 7 8 10 mayo invitamos reír carcajadas junto grandes comediantes chilenos teatrooriente puedes retirar 2 entradas solo 1 noche tarjeta vecino agotar stock conoce acá,2024-05-03 11:57:53
@evelynmatthei,hoy visité centro vacunación manuel montt 101 pude conversar vecinos encontraban ahí supuesto aproveché vacunarme covid influenza verdad dolió expedito bien atendidos funcionarios salud muniprovi si pertenecen grupo objetivo invito conocer puntos vacunación,2024-05-03 12:32:57
@evelynmatthei,luego días eeuu participé reuniones seminarios materia seguridad hoy regresé muniprovi contenta experiencias aprendidas espero pronto junto equipo municipal ver nuevas alternativas mejoras seguridad calles barrios ¡que lindo viernes,2024-05-03 09:32:25
@evelynmatthei,puede llamar persona alguien actúe tal nivel maldad frialdad desprecio absoluto vida barrio yungay persona abatida cobardemente oponer ninguna resistencia asalto realmente brutalidad impacta apena,2024-05-02 16:56:49
@evelynmatthei,barbmanriquez realmente honor compartir ustedes,2024-05-02 10:24:25
@evelynmatthei,ayer honor moderar charla alcaldesa evelynmatthei steven levitsky coautor how democracies die harvard 100 asistentes conversación necesaria inspiradora,2024-04-30 14:16:46
@evelynmatthei,día enviamos cariñoso saludo trabajadores comuna especialmente funcionarios muniprovi hacen providencia mejor lugar vivir vecinos vecinas díadeltrabajador,2024-05-01 13:07:33
@evelynmatthei,ustedes disfruten primero mayo merecen enormemente diadeltrabajador especial saludo equipo muniprovi realizan gran labor mejorar calidad vida vecinos providencia gran día,2024-05-01 12:47:00
@evelynmatthei,chile vive crisis seguridad pesar dura realidad par diputados frente amplio buscando resquicios legales posibles avanzar leyes necesitamos quieren avanzar total despacho ruf señalando feriado irrenunciable carabineros feriado irrenunciable inseguridad ¿tanto cuesta condenar violencia poner mano dura delincuentes terroristas país merece explicación tan inaudito actuar honorables,2024-04-30 12:25:13
@evelynmatthei,seminario viernes 24 mayo ¡reserva cupo invitamos seminario pacto seguridad realizará viernes 24 mayo centro cultural moneda 830 horas ¡tendremos grandes expositores inscríbete,2024-04-29 14:54:50
@evelynmatthei,sido días tremendamente duros país oportunidad contarles encuentro unidos tomé días municipio poder reunirme diversos expertos materia seguridad orden público convencida experiencia modelos éxitos pueden replicar realidad,2024-04-29 11:26:55
@evelynmatthei,6 frenteamplismo debe pedir perdón carabineros chile haber contribuido narrativa debilitó respeto protección hacia carabineros altura miras reconozcan errores sólo así chile región recuperará rumbo,2024-04-28 13:42:35
@evelynmatthei,revisa detalles videoalertapro nueva iniciativa seguridad providencia sistema videollamada tiempo real streaming permite central coordinación operativa acceder cámara teléfono persona presencie sufra emergencia,2024-04-28 18:12:35
@evelynmatthei,queremos agradecer equipo muniprovi permanente colaboración apoyo carabdechile materia seguridad fiscalización comuna providencia destaca gran labor compromiso acciones prevención barrios comunidades,2024-04-28 16:11:46
@evelynmatthei,años muniprovi contribuido materia medioambiental distintos programas proyectos servicios dejamos principales hitos sustentables marcando después hacia camino providencia sustentable,2024-04-28 10:33:18
@evelynmatthei,19º comisaría providencia sumamos mensajes apoyo carabdechile hoy ven partir 3 entristece institución cómo equipo muniprovi reiteramos condolencias familias colegas seres queridos,2024-04-27 09:26:38
@evelynmatthei,acto terrorista enluta nuevo aniversario carabdechile tres muertes crueles funcionarios víctimas emboscada atentado incendiario ésta tragedia absoluta país debe ser punto inflexión rotundo acción terrorismo sur país basta sólo dar condolencias gobierno debe asumir responsabilidades políticas sólo quedarse palabras pena palabras regresarán carabineros cobardemente asesinados,2024-04-27 08:44:46
@evelynmatthei,quiero destacar labor equipos seguridad 2023 cifras realmente buenas gracias trabajo conjunto municipio carabineros uds vecinos total detenidos 938 personas mientras 22 motochorros prisión preventiva respecto delincuentes extranjeros logró expulsión 8 sabemos aún queda mejorar seguiremos trabajando ello último día administración,2024-04-26 10:51:11
@evelynmatthei,compartiendo dos grandes hombres conozco bien mario desbordes jaimebellolio ambos tremenda trayectoria público segura santiago providencia dos grandes alcaldes juntos trabajando firmes mejorar trabajo requieren dos comunas tan importantes región enormes desafíos materia seguridad espacios públicos sepan cuentan apoyo vereda aportando pueda,2024-04-25 22:38:54
@evelynmatthei,pude compartir minutos ministra patobullrich intercambiar palabras haciendo argentina materia seguridad inteligencia espero podamos seguir manteniendo diálogo colaborativo trabajar juntos combatir grave problema afecta países,2024-04-25 14:17:08
@evelynmatthei,reuní evelynmatthei destacada líder chilena une temas seguridad combate crimen transnacional defensa democracia región,2024-04-25 08:15:54
@evelynmatthei,chile volver generar confianzas hoy enade analizará grave crisis seguridad vivimos crecimiento economía temas relevantes chilenos ello fundamental encuentro mundo público privado comiencen dar señales concretas generen clima confianza crecimiento económico condiciones ideas frenar delincuencia crimen organizado,2024-04-25 10:25:12
@evelynmatthei,oportunidad reunirme expresidente colombia ivanduque conversar temas tan importantes seguridad además experiencia control fronteras combate narcotrafico crimen organizado gran instancia comprometimos seguir profundizando temas intercambiar conocimientos pro mejorar país,2024-04-24 21:40:56
