fecha,tweet_normalizado,user
2024-04-30 12:25:13,chile vive crisis seguridad pesar dura realidad par diputados frente amplio buscando resquicios legales posibles avanzar leyes necesitamos quieren avanzar total despacho ruf señalando feriado irrenunciable carabineros feriado irrenunciable inseguridad ¿tanto cuesta condenar violencia poner mano dura delincuentes terroristas país merece explicación tan inaudito actuar honorables,@evelynmatthei
2024-04-29 14:54:50,seminario viernes 24 mayo ¡reserva cupo invitamos seminario pacto seguridad realizará viernes 24 mayo centro cultural moneda 830 horas ¡tendremos grandes expositores inscríbete,@evelynmatthei
2024-04-29 11:26:55,sido días tremendamente duros país oportunidad contarles encuentro unidos tomé días municipio poder reunirme diversos expertos materia seguridad orden público convencida experiencia modelos éxitos pueden replicar realidad,@evelynmatthei
2024-04-28 13:42:35,6 frenteamplismo debe pedir perdón carabineros chile haber contribuido narrativa debilitó respeto protección hacia carabineros altura miras reconozcan errores sólo así chile región recuperará rumbo,@evelynmatthei
2024-04-28 18:12:35,revisa detalles videoalertapro nueva iniciativa seguridad providencia sistema videollamada tiempo real streaming permite central coordinación operativa acceder cámara teléfono persona presencie sufra emergencia,@evelynmatthei
2024-04-28 16:11:46,queremos agradecer equipo muniprovi permanente colaboración apoyo carabdechile materia seguridad fiscalización comuna providencia destaca gran labor compromiso acciones prevención barrios comunidades,@evelynmatthei
2024-04-28 10:33:18,años muniprovi contribuido materia medioambiental distintos programas proyectos servicios dejamos principales hitos sustentables marcando después hacia camino providencia sustentable,@evelynmatthei
2024-04-27 09:26:38,19º comisaría providencia sumamos mensajes apoyo carabdechile hoy ven partir 3 entristece institución cómo equipo muniprovi reiteramos condolencias familias colegas seres queridos,@evelynmatthei
2024-04-27 08:44:46,acto terrorista enluta nuevo aniversario carabdechile tres muertes crueles funcionarios víctimas emboscada atentado incendiario ésta tragedia absoluta país debe ser punto inflexión rotundo acción terrorismo sur país basta sólo dar condolencias gobierno debe asumir responsabilidades políticas sólo quedarse palabras pena palabras regresarán carabineros cobardemente asesinados,@evelynmatthei
2024-04-26 10:51:11,quiero destacar labor equipos seguridad 2023 cifras realmente buenas gracias trabajo conjunto municipio carabineros uds vecinos total detenidos 938 personas mientras 22 motochorros prisión preventiva respecto delincuentes extranjeros logró expulsión 8 sabemos aún queda mejorar seguiremos trabajando ello último día administración,@evelynmatthei
2024-04-25 22:38:54,compartiendo dos grandes hombres conozco bien mario desbordes jaimebellolio ambos tremenda trayectoria público segura santiago providencia dos grandes alcaldes juntos trabajando firmes mejorar trabajo requieren dos comunas tan importantes región enormes desafíos materia seguridad espacios públicos sepan cuentan apoyo vereda aportando pueda,@evelynmatthei
2024-04-25 14:17:08,pude compartir minutos ministra patobullrich intercambiar palabras haciendo argentina materia seguridad inteligencia espero podamos seguir manteniendo diálogo colaborativo trabajar juntos combatir grave problema afecta países,@evelynmatthei
2024-04-25 08:15:54,reuní evelynmatthei destacada líder chilena une temas seguridad combate crimen transnacional defensa democracia región,@evelynmatthei
