tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1794810003078971479',"Carla Jara sorprende al usar su versión del ""vestido de la venganza"" tras separación de Kaminski https://t.co/LpiNOcY3NX",es,Tweet,0,6,1,18,7487,2024-05-26 15:17:05,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/tendencias/448334-carla-jara-vestido-de-la-venganza-comparacion-lady-di-fotos-tndc0-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716750506,,
'1794807845772247354',"Presidente Boric y opción que el Día del Patrimonio sea más de una vez al año: ""Estamos trabajando para eso"" https://t.co/U0bP7ofiy4",es,Tweet,1,240,31,198,41565,2024-05-26 15:08:31,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/nacional/448422-presidente-boric-dia-del-patrimonio-opcion-que-sea-mas-de-una-vez-al-ano-fds01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716750551,,
'1794807546450153788',Sistema frontal frío provocará viento de hasta 100 Km/h en esta región: Estos serán los sectores afectados https://t.co/E3mXNq0Mjc,es,Tweet,0,2,1,1,5302,2024-05-26 15:07:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.megatiempo.cl/noticias/1367-viento-chiloe-puerto-montt-los-lagos-los-rios-araucania-aysen-1ab.html,,
'1794790791019118663',"Husky Siberiano: Cuánto viven, peso, personalidad y origen de la raza https://t.co/buS48hDQUF",es,Tweet,0,11,2,0,5302,2024-05-26 14:00:44,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/calidad-de-vida/447978-husky-siberiano-cuanto-viven-origen-peso-evg-cvf01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716738250,,
'1794788255319069059',Imputados que se disfrazaban de carabineros para robar casas en Alto Hospicio quedan en prisión preventiva https://t.co/t1HW2eWL0o,es,Tweet,0,11,1,0,4669,2024-05-26 13:50:40,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/nacional/448410-se-hacen-pasar-por-carabineros-roban-casas-alto-hospicio-prision-preventiva-fds01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716738239,,
'1794784188228325635',Bono por deber asistencia escolar: ¿Quiénes lo reciben? https://t.co/OkADHcVwgZ,es,Tweet,0,1,1,1,4449,2024-05-26 13:34:30,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/dato-util/448239-bono-por-deber-asistencia-escolar-quienes-reciben-el-monto-postular-dinero-dtf01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716738229,,
'1794780944898851327',Ley de Grabado de patentes: ¿Qué autos no tienen la obligación de hacerlo? https://t.co/fapahW9wSe,es,Tweet,0,4,1,2,4572,2024-05-26 13:21:37,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/dato-util/448319-ley-de-grabado-de-patentes-que-autos-no-tienen-la-obligacion-de-hacerlo-dtcf01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716738217,,
'1794777688386728285',"""Pucha que te queremos y echamos de menos"": Fallece Marcela Cortés, expareja de Antonio Vodanovic https://t.co/3fVeuBgkK5",es,Tweet,0,9,0,2,7113,2024-05-26 13:08:40,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/tendencias/448413-muere-marcela-cortes-ex-pareja-antonio-vodanovic-maria-ines-saez-despedida-fds01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716738208,,
'1794773777160528067',"""Una tristeza que no me deja respirar"": Familiares de Toni Espadas dedicaron emotivos mensajes de despedida https://t.co/OwQzSPlmWu",es,Tweet,1,8,2,3,4663,2024-05-26 12:53:08,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/tendencias/448407-toni-espadas-guia-fotografo-pancho-saavedra-jorge-zabaleta-familia-despedida-cuerpo-fds01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716738196,,
'1794770566492098930',"¿Recuerdas al ""Chechico"" de ""Pituca sin Lucas""? Ya está en la universidad y esto estudia https://t.co/rKl4s7IUTU",es,Tweet,0,1,0,7,4636,2024-05-26 12:40:22,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/tendencias/448333-chechico-pituca-sin-lucas-benjamin-munoz-opazo-teleserie-mega-asi-luce-tndc0-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716738181,,
'1794764873060028696',Pronóstico de lluvia para el lunes 27 de mayo: ¿Cuáles son las zonas que esperan precipitaciones? https://t.co/FhNW0PKa4d,es,Tweet,0,4,1,0,4136,2024-05-26 12:17:45,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/nacional/448408-pronostico-de-lluvia-donde-llovera-el-tiempo-en-santiago-regiones-lunes-27-de-mayo-fds01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716738161,,
'1794760755062993100',Lluvioso Día del Patrimonio en Santiago: Público asiste masivamente a la fiesta de la cultura https://t.co/gL78ZTWduO,es,Tweet,0,2,0,0,3789,2024-05-26 12:01:23,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/nacional/448416-lluvia-en-santiago-dia-del-patrimonio-esta-lloviendo-video-fds01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716738150,,
'1794757069599355119',¿Cada cuánto hay que limpiar las cortinas? Conoce la frecuencia ideal https://t.co/an18ZeYsmW,es,Tweet,0,3,0,0,4053,2024-05-26 11:46:45,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/calidad-de-vida/448136-cada-cuanto-hay-que-limpiar-las-cortinas-evg-cvf01-26-5-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716738139,,
'1794743235786723453',🔴 SHOA descarta tsunami en costas de Chile tras fuerte temblor en el norte https://t.co/BnomhO4AQo,es,Tweet,0,25,14,6,11609,2024-05-26 10:51:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.meganoticias.cl/nacional/448418-shoa-descarta-tsunami-chile-temblor-mina-la-escondida-zona-norte-region-antofagasta-magnitud-sismo-hoy-fds01-26-05-2024.html,,
'1794742758416228748',"""Tremendo sistema frontal"" se aproxima a Chile: Alejandro Sepúlveda adelanta que este fenómeno alcanzaría 7 regiones https://t.co/MBcH0wSDkf",es,Tweet,2,49,6,6,18565,2024-05-26 10:49:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.megatiempo.cl/pronostico/1364-nuevo-sistema-frontal-lluvias-chile-proxima-semana-1ab.html,,
'1794739522942742531',🔴 Fuerte temblor se percibe en la zona norte del país: Conoce la magnitud del movimiento telúrico https://t.co/eaq5e2v8iw https://t.co/Kt11s6J2DY,es,Tweet,0,15,8,1,5997,2024-05-26 10:37:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.meganoticias.cl/nacional/448417-temblor-sismo-chile-zona-norte-region-de-antofagasta-mina-la-escondida-fds01-26-05-2024.html,animated_gif,https://pbs.twimg.com/tweet_video_thumb/GOgyEyiWAAA-vH8.jpg
'1794723828050076075',Video muestra como vecinos de La Florida frustran encerrona a punta de piedrazos https://t.co/DPk854UoBo,es,Tweet,3,222,107,14,19677,2024-05-26 09:34:39,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://www.meganoticias.cl/nacional/448414-video-muestra-encerrona-frustrada-vecinos-la-florida-lanzaron-piedrazos-fds01-26-05-2024.html,,
'1794717296491155955',"Tragedia por alud en Papúa: La ONU estima en 670 los muertos por deslizamiento de tierras 
https://t.co/RbDdFK0fhL",es,Tweet,0,6,2,3,6088,2024-05-26 09:08:42,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://www.meganoticias.cl/mundo/448412-tragedia-en-papua-alud-onu-estima-en-670-los-muertos-deslizamiento-de-tierras-fds01-26-05-2024.html,,
'1794603559373185211',Abogada y periodista de 60 años que buscaba ser Miss Universo Argentina no logró ganar el concurso de belleza https://t.co/DCFFt2fkUS https://t.co/NW2pQQeBt5,es,Tweet,0,12,3,1,11665,2024-05-26 01:36:45,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/tendencias/448406-miss-argentina-abogada-periodista-60-anos-alejandra-rodriguez-como-le-fue-miss-universo-fds01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716701804,photo,https://pbs.twimg.com/media/GOe2bTxW4AAUqlk.jpg
'1794579776398655993',"Cambio de hora: ¿Cuándo y en qué zonas se debe modificar?
https://t.co/NPkx2jLGQn",es,Tweet,0,1,1,0,8542,2024-05-26 00:02:15,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://www.meganoticias.cl/dato-util/448256-cambio-de-hora-chile-cuando-se-acaba-el-horario-de-invierno-en-que-zonas-se-cambia-la-hora-dtf01-25-05-2024.html,,
'1794557967301226610',"Luli arriesga demanda: Nicole Moreno sería llevada a la justicia por ""injurias y calumnias"" tras accidente de tránsito
https://t.co/PydbLphI0E",es,Tweet,1,14,2,5,13628,2024-05-25 22:35:35,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://www.meganoticias.cl/tendencias/448403-nicole-luli-moreno-arriesga-demanda-injurias-calumnias-accidente-transito-fds01-25-05-20224.html,,
'1794554239341003189',"🔴 Condenan a cinco personas por el homicidio de un joven en Panguipulli
https://t.co/EwQzZSEa9v",es,Tweet,0,15,5,0,9960,2024-05-25 22:20:46,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://www.meganoticias.cl/nacional/448402-condenan-cinco-personas-homicidio-joven-panguipulli-fds01-24-05-2024.html,,
