tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1794810001422266504',Antofagasta amargó el estreno de Jaime García al mando de S. Wanderers #CooperativaContigo https://t.co/rYWwO8Y7vi https://t.co/Alu1Wq8Op9,es,Tweet,0,4,2,0,5048,2024-05-26 15:17:04,"<a href=""http://www.cooperativa.cl"" rel=""nofollow"">Cooperativa.cl</a>",#CooperativaContigo,https://tinyurl.com/22glyg7p,photo,https://pbs.twimg.com/media/GOhyLzkWMAAB1Yz.png
'1794809936737939493',"[Radio en vivo🎙] Vivimos todas las disciplinas en las Tardes Deportivas. El exfutbolista Alejandro Glaría conversa con Cooperativa Deportes en la sección ""Viejos Cracks"" #CooperativaContigo https://t.co/p4jVaAXsrh https://t.co/9d11PLbZAo",es,Tweet,0,2,3,0,4729,2024-05-26 15:16:49,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",#CooperativaContigo,http://bit.ly/3FPIitR,photo,https://pbs.twimg.com/media/GOhw3hRWsAADiDD.jpg
'1794809840935858328',"[MARCADOR VIRTUAL⚽️] ¡GOOOOOL! Gonzalo Ríos sacó un tremendo remate para poner el primero a favor de Audax Italiano sobre Copiapó #CooperativaContigo
https://t.co/ZvtYSYL60k",es,Tweet,0,1,0,0,4287,2024-05-26 15:16:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/22xd576n,,
'1794808472027971633',Igor Lichnovsky causó polémica por asistir a matrimonio antes de la final en México #CooperativaContigo https://t.co/LwiYoSJreQ https://t.co/F4CSDZyDpr,es,Tweet,0,2,1,0,5048,2024-05-26 15:11:00,"<a href=""http://www.cooperativa.cl"" rel=""nofollow"">Cooperativa.cl</a>",#CooperativaContigo,https://tinyurl.com/2bgkjlkd,photo,https://pbs.twimg.com/media/GOhwyzbWkAAzALo.png
'1794807670102507587',Gasquet superó la primera ronda de Roland Garros a sus casi 38 años #CooperativaContigo https://t.co/6xUd4KE0SS https://t.co/53svYrTHMJ,es,Tweet,0,4,2,0,5143,2024-05-26 15:07:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/2bug5bsj,photo,https://pbs.twimg.com/media/GOhwDn3WQAEmDiV.jpg
'1794806985927557416',Gol de Hellas Verona: Tijjani Noslin define para el 1-1 ante Inter #CooperativaContigo https://t.co/KrbDfS3o7A,es,Tweet,0,2,0,0,4713,2024-05-26 15:05:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/23kjupj4,,
'1794806395604463734',"[MARCADOR VIRTUAL⚽️] ¡COMENZÓ EL PARTIDO! Deportes Copiapó y Audax Italiano ya juegan por la fecha 14 del #CampeonatoNacional #CooperativaContigo
https://t.co/ZvtYSYL60k",es,Tweet,0,0,0,0,4640,2024-05-26 15:02:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#CampeonatoNacional,#CooperativaContigo",https://tinyurl.com/22xd576n,,
'1794805384412278894',[EN VIVO 🎾] Corentin Moutet ganó el primer set ante Nicolás Jarry por 6-2 #RolandGarros #CooperativaContigo https://t.co/lc87xDCPH5 https://t.co/Iam1fHLina,es,Tweet,0,2,1,0,4709,2024-05-26 14:58:44,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>","#RolandGarros,#CooperativaContigo",https://tinyurl.com/2cv32pql,photo,https://pbs.twimg.com/media/GOht24CWEAAYlie.jpg
'1794805099975557318',Gol de Inter: Marko Arnautovic marca el 1-0 sobre Hellas Verona #CooperativaContigo https://t.co/KrbDfS3o7A,es,Tweet,0,2,0,0,4145,2024-05-26 14:57:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/23kjupj4,,
'1794804929149968856',[VIDEO] Napoli cerró desastrosa temporada fuera de torneos europeos #CooperativaContigo https://t.co/iMKyYfQAer https://t.co/vLNAnaHnts,es,Tweet,0,2,1,0,4207,2024-05-26 14:56:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/28ad9alh,photo,https://pbs.twimg.com/media/GOhtiVlWkAAiE_l.jpg
